observation_date,DCOILWTICO
2008/1/1,97.86
2008/4/1,123.78
2008/7/1,118.29
2008/10/1,58.68
2009/1/1,43.14
2009/4/1,59.61
2009/7/1,68.14
2009/10/1,76
2010/1/1,78.81
2010/4/1,77.82
2010/7/1,76.06
2010/10/1,85.16
2011/1/1,94.07
2011/4/1,102.02
2011/7/1,89.49
2011/10/1,94.02
2012/1/1,102.98
2012/4/1,93.29
2012/7/1,92.17
2012/10/1,88.01
2013/1/1,94.33
2013/4/1,94.05
2013/7/1,105.83
2013/10/1,97.5
2014/1/1,98.68
2014/4/1,103.35
2014/7/1,97.87
2014/10/1,73.21
2015/1/1,48.49
2015/4/1,57.85
2015/7/1,46.49
2015/10/1,41.94
2016/1/1,33.35
